Effective listing date,EPBC listing,Forest threatened ecological community,State,Pivot Field Values
25/11/2011,Endangered,Arnhem Plateau Sandstone Shrubland Complex,NT,1
26/08/2005,Critically Endangered,Blue Gum High Forest of the Sydney Basin Bioregion,NSW,1
4/04/2001,Endangered,Brigalow (Acacia harpophylla dominant and co-dominant),NSW,1
4/04/2001,Endangered,Brigalow (Acacia harpophylla dominant and co-dominant),Qld,1
19/05/2012,Endangered,Broad leaf tea-tree (Melaleuca viridiflora) woodlands in high rainfall coastal north Queensland,Qld,1
16/07/2000,Endangered,Buloke Woodlands of the Riverina and Murray-Darling Depression Bioregions,NSW,1
16/07/2000,Endangered,Buloke Woodlands of the Riverina and Murray-Darling Depression Bioregions,Qld,1
16/07/2000,Endangered,Buloke Woodlands of the Riverina and Murray-Darling Depression Bioregions,SA,1
16/07/2000,Endangered,Buloke Woodlands of the Riverina and Murray-Darling Depression Bioregions,Vic,1
17/03/2015,Endangered,Castlereagh Scribbly Gum and Agnes Banks Woodlands of the Sydney Basin Bioregion,NSW,1
7/05/2015,Critically Endangered,Central Hunter Valley eucalypt forest and woodland,NSW,1
17/03/2015,Critically Endangered,Cooks River/Castlereagh Ironbark Forest of the Sydney Basin Bioregion,NSW,1
1/03/2011,Endangered,Coolibah - Black Box Woodlands of the Darling Riverine Plains and the Brigalow Belt South Bioregions,NSW,1
1/03/2011,Endangered,Coolibah - Black Box Woodlands of the Darling Riverine Plains and the Brigalow Belt South Bioregions,Qld,1
16/07/2000,Endangered,Corymbia calophylla - Kingia australis woodlands on heavy soils of the Swan Coastal Plain,WA,1
16/07/2000,Endangered,Corymbia calophylla - Xanthorrhoea preissii woodlands and shrublands of the Swan Coastal Plain,WA,1
9/12/2009,Critically Endangered,Cumberland Plain Shale Woodlands and Shale-Gravel Transition Forest,NSW,1
16/07/2000,Endangered,Eastern Suburbs Banksia Scrub of the Sydney Region,NSW,1
4/12/2015,Critically Endangered,Eucalypt Woodlands of the Western Australian Wheatbelt,WA,1
1/09/2004,Vulnerable,Eucalyptus ovata - Callitris oblonga Forest,Tas,1
13/08/2013,Endangered,Eyre Peninsula Blue Gum (Eucalyptus petiolaris) Woodland,SA,1
7/01/2009,Critically Endangered,Gippsland Red Gum (Eucalyptus tereticornis subsp. mediana) Grassy Woodland and Associated Native Grassland,Vic,1
25/06/2009,Critically Endangered,Grassy Eucalypt Woodland of the Victorian Volcanic Plain,Vic,1
1/04/2010,Endangered,Grey Box (Eucalyptus microcarpa) Grassy Woodlands and Derived Native Grasslands of South-eastern Australia,NSW,1
1/04/2010,Endangered,Grey Box (Eucalyptus microcarpa) Grassy Woodlands and Derived Native Grasslands of South-eastern Australia,SA,1
1/04/2010,Endangered,Grey Box (Eucalyptus microcarpa) Grassy Woodlands and Derived Native Grasslands of South-eastern Australia,Vic,1
1/05/2014,Critically Endangered,Kangaroo Island Narrow-leaved Mallee (Eucalyptus cneorifolia) Woodland,SA,1
10/10/2008,Critically Endangered,Littoral Rainforest and Coastal Vine Thickets of Eastern Australia,NSW,1
10/10/2008,Critically Endangered,Littoral Rainforest and Coastal Vine Thickets of Eastern Australia,Qld,1
10/10/2008,Critically Endangered,Littoral Rainforest and Coastal Vine Thickets of Eastern Australia,Vic,1
16/02/2013,Critically Endangered,Lowland Grassy Woodland in the South East Corner Bioregion,NSW,1
16/02/2013,Critically Endangered,Lowland Grassy Woodland in the South East Corner Bioregion,Vic,1
25/11/2011,Critically Endangered,Lowland Rainforest of Subtropical Australia,NSW,1
25/11/2011,Critically Endangered,Lowland Rainforest of Subtropical Australia,Qld,1
8/10/2002,Critically Endangered,Mabi Forest (Complex Notophyll Vine Forest 5b),Qld,1
27/02/2013,Endangered,Monsoon vine thickets on the coastal sand dunes of Dampier Peninsula,WA,1
1/03/2011,Critically Endangered,New England Peppermint (Eucalyptus nova-anglica) Grassy Woodlands,NSW,1
1/03/2011,Critically Endangered,New England Peppermint (Eucalyptus nova-anglica) Grassy Woodlands,Qld,1
21/06/2007,Critically Endangered,Peppermint Box (Eucalyptus odorata) Grassy Woodland of South Australia,SA,1
16/07/2000,Endangered,Perched Wetlands of the Wheatbelt region with extensive stands of living sheoak and paperbark across the lake floor (Toolibin Lake),WA,1
1/02/2014,Endangered,Proteaceae Dominated Kwongkan Shrublands of the Southeast Coastal Floristic Province of Western Australia,WA,1
4/04/2001,Endangered,Semi-evergreen vine thickets of the Brigalow Belt (North and South) and Nandewar Bioregions,NSW,1
4/04/2001,Endangered,Semi-evergreen vine thickets of the Brigalow Belt (North and South) and Nandewar Bioregions,Qld,1
16/12/2014,Critically Endangered,Shale Sandstone Transition Forest of the Sydney Basin Bioregion,NSW,1
